ID,Screen Name
988573326376427520,SecPompeo
956283913835614208,SecAzar
935148134505828353,SecNielsen
888031054141022209,MickMulvaneyOMB
862405301693296640,USTradeRep
842072478834909184,SecretarySonny
836305915452272641,SecretaryRoss
834189214652760065,OMBPress
832672006113931269,EPAScottPruitt
830128820447539208,SecretaryPerry
828997388920619008,BetsyDeVosED
828613457020870657,SecretaryCarson
827258161841135623,SecretaryZinke
826065858548133888,SecElaineChao
822215673812119553,WhiteHouse
819992522109894658,SBALinda
819980276570976256,SecretaryAcosta
818928162449068032,Cabinet
818910970567344128,VP
799764016885329921,stevenmnuchin1
2359926157,CIA
393562221,USDOT
249677516,USUN
166252256,ENERGY
153149305,SBAgov
120176950,USTreasury
110541296,CommerceGov
78408666,DeptVetAffairs
76348185,Interior
73181712,TheJusticeDept
66369181,DeptofDefense
61853389,USDA
44783853,HHSGov
37666984,nikkihaley
20437286,usedgov
20179628,USDOL
19948202,HUDgov
15647676,DHSgov
14615871,EPA
9624742,StateDept
