ID,Screen Name
948946378939609089,GovMurphy
816282120767291392,GovChrisSununu
813792250497028102,NC_Governor
4919082864,GovHolcomb
3141213592,GovMattBevin
3023272478,OregonGovBrown
2987671552,GovLarryHogan
2978837542,GovernorTomWolf
2916915026,GovHawaii
2915095729,AkGovBillWalker
2891165960,GovRicketts
2862555526,GovRauner
2303719598,GovMattMead
1077214808,GovInslee
637143497,Governor_LePage
607332953,WVGovernor
545107258,GovPhilScott
518700708,DougBurgum
269992801,AsaHutchinson
237770636,JohnCarneyDE
234406945,SDGovDaugaard
234141596,GovMalloyOffice
232268199,NYGovCuomo
231592153,PhilBryantMS
217416964,GovernorDeal
216481299,GovMarkDayton
213795411,GovWalker
208931294,GovSandoval
194233791,GovMaryFallin
166374616,LouisianaGov
142334996,OHPressSec
131546062,FLGovScott
117839957,hickforco
113795716,GinaRaimondo
113036476,onetoughnerd
111721601,GovernorBullock
104198706,GovernorVA
89193992,GovJeffColyer
60688326,GovHerbert
57963724,Gov_Martinez
36396752,ButchOtter
31591773,KimReynoldsIA
26103389,BillHaslam
24004390,EricGreitens
20217019,dougducey
19668491,GovernorKayIvey
19418459,JerryBrownGov
19291441,GovAbbott
18023868,MassGovernor
16335288,henrymcmaster
